맘카,0,0,0,1,0,1,0,0,1,0,0,1,0
동작감지센서,0,0,0,1,0,0,0,1,0,1,0,0,1
에어센서,0,0,0,0,1,1,0,0,0,1,0,1,0
수면센서,0,0,0,1,0,1,0,0,0,1,0,0,1
수면등,0,0,0,1,0,1,0,0,0,1,0,1,0
플러그,0,0,0,1,0,1,0,0,0,1,0,0,1
멀티탭,0,0,0,1,0,1,0,0,0,1,0,0,1
스위치,0,0,0,1,0,0,0,1,0,1,0,0,1
가스잠그미,0,0,0,1,0,0,0,1,0,1,0,1,0
도어센서,0,0,0,1,0,0,0,1,0,1,0,0,1
전기료미터,0,0,0,1,0,1,0,0,0,1,0,0,1
에어컨,0,0,0,1,0,1,0,0,0,0,1,1,0
로봇청소기,0,0,0,0,1,1,0,0,1,0,0,1,0
My Hero,0,0,0,0,1,0,1,0,0,1,0,0,1
문열림센서,0,0,0,1,0,1,0,0,0,1,0,0,1
I'm Here,0,0,0,0,1,0,1,0,0,1,0,0,1
공기청정기,0,0,0,1,0,1,0,0,1,0,0,1,0
스마트 트래커,0,0,0,0,1,0,1,0,0,1,0,0,1
LISA Home,0,0,0,1,0,1,0,0,0,1,0,1,0
공기모니터,0,0,0,1,0,1,1,0,0,1,0,1,0
스마트 에너지미터,0,0,0,1,0,1,0,0,0,1,0,1,0
스마트 스위치,0,0,0,1,0,0,0,1,0,0,1,0,1
스마트 도어센서,0,0,0,1,0,0,0,0,0,1,0,0,1
홈카메라,0,0,0,1,0,1,0,0,1,0,0,1,0
스마트 온습도 센서,0,0,0,1,0,0,0,0,0,1,0,0,1
2019 The Frame 108 츠,0,0,0,1,0,1,1,0,0,0,1,1,0
사운드 플러스 사운드바 5채널 HW-MS751?,0,0,0,1,0,1,1,0,0,0,1,0,1
무풍에어컨 벽걸이 와이드,0,0,0,1,0,1,0,0,0,0,0,1,0
무풍큐브 47 ㎡ 세이지 블루,0,0,0,1,0,1,0,0,0,1,0,1,0
그랑데 세탁기 AI 21 kg 블랙 케비어,0,0,0,1,0,1,0,0,0,1,0,1,0
그랑데 건조기 14 kg DV14R8520KP 이녹스 실버,0,0,0,1,0,1,0,0,0,1,0,1,0
에어드레서 DF60R8300DG 다크 블랙,0,0,0,1,0,1,0,0,0,1,0,1,0
POWERbot VR20K9350WK 에보니 옵시디언,0,0,0,0,1,1,0,0,1,0,0,1,0
BESPOKE 1도어 (김치) 319 L?,0,0,0,1,0,1,0,0,0,1,0,0,1
